Listing URL,Listing Age (Days),Listing Status,Brand,Model,Engine CC,Engine Class,Asking Price (SGD),Mileage (km),Registration Date,COE Expiry,Age (Days),Age (Years),COE Remaining (Days),COE Remaining (Years),Road Tax Expiry,Number of Owners,Location,Price Changes (Original),Price change %,Payment option,Maintenance History,Accident/Damage Disclosure,Modifications,Tyre Condition,Chain/Sprocket Condition,Visible Rust/Corrosion,Visible Damage,Evidence Completeness,Description Notes,Red Flags,Comparable Group ID
https://www.carousell.sg/p/suzuki-gsx-r-r150-cheapest-1457496901/?t-id=718Kst8Zlf_1788366833321&t-referrer_browse_type=categories&t-referrer_category_id=1595&t-referrer_context_ccid=1997&t-referrer_page_type=category_browse&t-referrer_request_id=gJaKgOJBB9zfiGrh&t-referrer_sort_by=popular&t-tap_index=5,7,Available,Suzuki,GSX-R R150,147,2B,13288,1042,2/10/2023,2/10/2033,1070,2.93,2583,7.07,NA,NA,"Hillview, Bukit Panjang, Bukit Batok, Choa Chu Kang",NA,#VALUE!,Not Specified,5,NA,NA,3,NA,5,5,3,"??Cheapest in market ??

Registration date: Oct 2023
Coe : Oct 2033 (renewable) 

$1500 downpayment 
Monthly :$278 only!!

??Minimum down payment $500 only 
??Warranty provided 
??Low interest rate 
??Fast loan approval 
??Free gift 
??High trade in 
??Reloan/Financing 

Contact me us for more details 
???????Zac
??8886 0604

??1 Bukit Batok Cres, Wcega Plaza #04-54 S658064 

???Operation hours
Mon-Sun
11.30am-6pm
Anytime after 6pm, we’ll do our best to accommodate, feel free to reach out :)",Not many pictures of the bike,SUZUKI|GSX-RR150|2B|CC0-200|COE5-8|AGE0-3|M0-20K|COND5
https://www.carousell.sg/p/coe-2034-pre-owned-suzuki-gsx1300r-hayabusa-l4-%E2%80%BC%EF%B8%8F-1448776548/?t-id=718Kst8Zlf_1788366833321&t-referrer_browse_type=categories&t-referrer_category_id=7100&t-referrer_context_ccid=7100&t-referrer_page_type=category_browse&t-referrer_request_id=3E5jV8Rk2dWv7KEL&t-referrer_sort_by=popular&t-tap_index=6,7,Available,Suzuki,GSX-R1300 Hayabusa,1300,2,20996,159000,30/9/2024,30/9/2034,706,1.93,2946,8.07,30/9/2026,NA,"Hillview, Bukit Panjang, Bukit Batok, Choa Chu Kang",23996,12.50%,Not Specified,4,NA,NA,4,4,4,4,4,"Pre-Owned Suzuki GSX1300R Hayabusa L4 ?? 
Purchase Price : $23,996.00
COE Expired : 30 SEP 2034
Mileage : 159,000KM
Road Tax Expired : 30 SEP 2026
Inspection Valid Till : 30 SEP 2026

*Take Note Some Accessories Need Top Up*

Make your appointment with any of our sales executive now. Ready Stock, Ready COE & Ready You!

We are proud to serve you now and always. 

Cheers ! 

?????????????? ????

???????? ????????????????????:
??Darren Tan: 8868 6800
??Jordan : 9819 1391
??Ryan : 8858 4788
??Vincent Ngiam: 8338 8337  

Revolution Bike Pte Ltd 
Address: 1 Bukit Batok Crescent 
Wcega Plaza #03-24
Singapore 658064
Office          : 6518 3226
Email           : s*****s@r*************.sg 
Website      : www.revolutionbike.sg

Operation Hours:
Monday to Friday - 10.00am to 8.00pm 
Saturday - 10.00am to 6.00pm 
Closed on public holiday & Sunday

BUY / SELL / TRADE / BIKE FINANCING / COE FINANCING / WORKSHOP SERVICES /
LOAN EVALUATION / BIKE INVENTORY/ FREE CONSULTATION",High mileage,SUZUKI|GSX-R1300HAYABUSA|2|CC1200+|COE8-10|AGE0-3|M120K+|COND4
https://www.carousell.sg/p/suzuki-drz-400-sm-k8-1455246969/?t-id=718Kst8Zlf_1788366833321&t-referrer_browse_type=categories&t-referrer_category_id=7100&t-referrer_context_ccid=7100&t-referrer_page_type=category_browse&t-referrer_request_id=goIXtGa07PZ0NIcQ&t-referrer_sort_by=popular&t-tap_index=1,21,Available,Suzuki,DRZ400SM,398,2A,4666,55000,1/5/2008,31/1/2028,6702,18.35,512,1.40,NA,NA,"Punggol, Sengkang, Hougang, Kovan, Serangoon, Lorong Ah Soo",4999,6.66%,Not Specified,3,Present,Significant,4,3,3,3,5,"First registered - May 2008
COE expires - 31st January 2028
SK Chassis

Selling my beloved DRZ, took over on Dec 2023 and changed many parts upon taking over including a new paint job & rim wrap. 

Hel hose and Delta barrel exhaust (LTA legal but no physical cert) already fitted. No issues with inspection.

0 crashes under my ownership.

Some of the things i changed are:
Zeta Clutch and Brake Lever (2026)
Zeta Clutch and Brake Pedal (2024)
Zeta Fork Top Bleed
Zeta chain guide
Zeta Engine Plugs
DRC tail tidy
DRC coolant hose
JD Jet kit
3x3 Air Box Mod
Ori Key Switch
Ori Helmet lock
Ori Fuel tank cap
Ori side stand
Wide seat
Clutch cable
Trailtech Speedometer Sensor (2026)
Battery, Magnetic Coil & Rectifier (2026)

I have kept a list of almost every servicing and parts changed during my ownership, 95% of the time done with Ah Chong Lightning at Jln Besar.

XXXXXkm is due to my speedometer sensor having intermittent issue so numbers are inaccurate to record down.
Current mileage is realistically around 55k-60k as i also have other bikes i use.

Engine oil change is approximately before every 2000km.

Comes with Givi box and rack which will be given to new owner.

Refer to last image - small paint peel damage when i was trying to squeeze my way out between metal bollards at my workplace

RFS - got other bikes to take care of",Too many modifications,SUZUKI|DRZ400SM|2A|CC201-400|COE0-2|AGE15+|M40-80K|COND2
https://www.carousell.sg/p/suzuki-burgman200i-abs-coe-nov-2027-renewable-1454152451/?t-id=718Kst8Zlf_1788366833321&t-referrer_browse_type=categories&t-referrer_category_id=7100&t-referrer_context_ccid=7100&t-referrer_page_type=category_browse&t-referrer_request_id=-LCDgQatMMsnBaop&t-referrer_sort_by=popular&t-tap_index=1,21,Available,Suzuki,Burgman 200 ABS,200,2B,2200,NA,1/11/2017,1/11/2027,3231,8.85,421,1.15,NA,NA,"Geylang, Dakota, Paya Lebar Central, Eunos, Ubi, Aljunied, Kaki Bukit",NA,#VALUE!,Not Specified,1,NA,NA,3,NA,4,4,2,"?? What’sApp For Enquiry 
+65-83819060 (24/7) 

Suzuki Burgman 200i
COE Expire Nov 2027  Renewable 
Only Full Cash Available 
Price Fixed Non Negotiable

Welcome Contact Us 
Tel +65-63459060 
Our Location @ 
No25 Kaki Bukit Road 4
#01-23/24/25/ 26 SYNERGY @KB
S’PORE 417800
Business Hours 
Monday-Friday 10am - 6:30pm
Saturday 10am - 5pm
Sunday & PH Close",No mileage,SUZUKI|BURGMAN200ABS|2B|CC0-200|COE0-2|AGE6-10|M-NA|COND3
https://www.carousell.sg/p/suzuki-intruder-boulevard-m109r-1454811716/?t-id=718Kst8Zlf_1788366833321&t-referrer_browse_type=categories&t-referrer_category_id=7100&t-referrer_context_ccid=7100&t-referrer_page_type=category_browse&t-referrer_request_id=GhdMd1bFYt7u2XgA&t-referrer_sort_by=popular&t-tap_index=6,21,Available,Suzuki,Boulevard M109R,1783,2,11800,40000,1/2/2010,31/8/2029,6061,16.59,1090,2.98,1/12/2026,NA,"Tanglin, Bukit Timah, Holland",NA,#VALUE!,Cash,4,NA,NA,4,NA,4,4,3,"Torquey 1.8l V-Twin beast, Linear power delivery and smooth pulls from dead stop. Hold on tight!

Don’t look down on stock pipe that provides satisfying rumbles, they will hear you before they see you.

One of the biggest cruisers, yet with low CG and handles very well, relaxed riding but wakes at a moments notice, it’s a power cruiser after all.

Registered Feb 2010
COE 31 Aug 2029
Mileage 40,000
Road tax Dec 26

No mechanical issues, bodywork good, some spares like original rear light, pillion backrest, grips, etc 

Full cash only, feel free to arrange for viewing and discussion.

Note: RPM LCD spoilt ",,SUZUKI|BOULEVARDM109R|2|CC1200+|COE2-5|AGE15+|M40-80K|COND4
https://www.carousell.sg/p/suzuki-v-strom-800de-adventure-sell-trade-1457327605/?t-id=718Kst8Zlf_1788366833321&t-referrer_browse_type=categories&t-referrer_category_id=7100&t-referrer_context_ccid=7100&t-referrer_page_type=category_browse&t-referrer_request_id=NVKJeC920EZS3PiO&t-referrer_sort_by=popular&t-tap_index=14,7,Available,Suzuki,V-Strom 800DE,776,2,22000,7000,1/8/2024,1/8/2034,766,2.10,2886,7.90,NA,NA,"Punggol, Sengkang, Hougang, Kovan, Serangoon, Lorong Ah Soo",NA,#VALUE!,Not Specified,3,NA,NA,3,NA,4,4,3,"- Metallic green-yellow Aug' 2024 registered
- Slim 270 degrees parallel twin engine. torquey but smooth!
- Equipped with Adventure Top Box and Side Panniers
- Includes crash bars, fog light,  headlight grille and engine casing guards for Protection
- OEM low seat, heat deflectors, scottoiler, quickshifter
- TFT Display with Android Navigation and Connectivity
- with adjustable traction control, abs and riding modes
- Mileage 7000KM Only! Just complete servicing.
- full tank 500km+, easily 200km/hr. Petrol consumption 22km/L
- Ready for your next adventure!

For sale or trade in with KTM 890 SMT, Honda ADV 750 V3",,SUZUKI|V-STROM800DE|2|CC651-900|COE5-8|AGE0-3|M0-20K|COND4
https://www.carousell.sg/p/drz-sm-suzuki-sk-chassis-1415631014/?t-id=718Kst8Zlf_1788366833321&t-referrer_browse_type=categories&t-referrer_category_id=7100&t-referrer_context_ccid=7100&t-referrer_page_type=category_browse&t-referrer_request_id=YjKCh4tEo8v3t-we&t-referrer_sort_by=popular&t-tap_index=17,21,Available,Suzuki,DRZ400SM,398,2A,8000,112148,1/2/2018,1/2/2028,3139,8.59,513,1.40,NA,NA,Chinatown,9000,11.11%,Not Specified,3,NA,NA,3,3,3,3,3,"SK chassis not JS.
full system legal yoshimura Titanium
new trial tech meter.one year warranty. 

Coe 2028 Feb 

looking to sincere buyer to appreciate the bike. 

meter to be replaced. price can be discuss. 

just done inspection and rd tax. 

owner frequent travel due to work. very little riding time.",,SUZUKI|DRZ400SM|2A|CC201-400|COE0-2|AGE6-10|M80-120K|COND3
https://www.carousell.sg/p/suzuki-gsr400-k7-1454594156/?t-id=718Kst8Zlf_1788366833321&t-referrer_browse_type=categories&t-referrer_category_id=7100&t-referrer_context_ccid=7100&t-referrer_page_type=category_browse&t-referrer_request_id=dOHfFCchQCsDsp8Q&t-referrer_sort_by=popular&t-tap_index=20,21,Available,Suzuki,GSR400,398,2A,6500,NA,1/12/2017,1/12/2027,3201,8.76,451,1.23,NA,NA,"Tampines, Pasir Ris",7500,13.33%,Not Specified,5,NA,Significant,4,3,4,4,4,"A very rare bike to be seen in SG. Owned this bike for 1.5 years and did not give any issues other than wear & tears which have been done up. Used as a daily ride by myself and prev owner. 

Bike is fitted with:
- Windshield
- Engine guards
- Frame sliders
- ProTaper handlebar
- Legal Yoshimura aftermarket exhaust & very loud (repacked)
- Forged and Twilled carbon parts

Things done:
- 4x spark plug (Jul 2026)
- Chain & sprockets (Jul 2026)
- Brake pads (Jul 2026)
- Coolant flush (Jul 2026)
- Battery (Dec 2025)
- Starter motor (Dec 2025)
- Magnetic coil (Sep 2025)
- Rectifier (Sep 2025)
- Seat re-wrap anti-slip (Apr 2025)
- Valve clearance (prev owner 2024)

Passed inspection in Feb 2026. 

Servicing and maintenance done on time. 

COE end 2027

Stock exhaust and some accessories will be included as well. 

RFS: Upgrading to C2
Open to trades",,SUZUKI|GSR400|2A|CC201-400|COE0-2|AGE6-10|M-NA|COND4
https://www.carousell.sg/p/gsx-r-750-k9-1433273702/?t-id=718Kst8Zlf_1788366833321&t-referrer_browse_type=categories&t-referrer_category_id=7100&t-referrer_context_ccid=7100&t-referrer_page_type=category_browse&t-referrer_request_id=dHgM5T7KSTtDN4ef&t-referrer_sort_by=popular&t-tap_index=15,14,Available,Suzuki,GSX-R750,750,2,11000,NA,1/6/2020,1/6/2030,2288,6.26,1364,3.73,NA,NA,"Tampines, Pasir Ris",12000,8.33%,Not Specified,4,NA,Significant,4,NA,4,4,3,"Suzuki GSX-R 750 K8 for sale. Comes with yoshi legal endcan. Serious buyers only. COE till june 2030

things done under my care (Dec2025)
•brand new stock suspension
• ?rear disc brake 
• ?air filter with clean air box 
• ?front brake bleeding SRF 
• ?rear brake bleeding 
• ?ignition coil x4
• ?timing plug cap with o ring
• ?service fork
• ?thermostat with oring
• ?coolant flush engine ice
• ?throttle body service with hoses and synced
• ?injector primary & secondary test and clean",,SUZUKI|GSX-R750|2|CC651-900|COE2-5|AGE6-10|M-NA|COND4
https://www.carousell.sg/p/suzuki-katana-motorcycle-odo-53068km-1443465566/?t-id=718Kst8Zlf_1788366833321&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=Ro76y6D18uoiM2wh&t-referrer_search_query=suzuki%20katana&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=0,21,Available,Suzuki,Katana,999,2,27500,53068,22/9/2020,22/9/2030,2175,5.95,1477,4.04,NA,1,"Yishun, Sembawang",NA,#VALUE!,Not Specified,2,NA,NA,NA,NA,NA,NA,1,"- Suzuki motorcycle for sale
- Odometer: 53068km
- Digital display: Gear, speed, and more
-SC project for pipe
- Lights and indicators: Fully functional
- Ready for a new owner
- Viewing available
-COE 22 September 2030
- original mirror and pipe all will throw in.
- 1 owner only.AE10",,SUZUKI|KATANA|2|CC901-1200|COE2-5|AGE3-6|M40-80K|COND2
https://www.carousell.sg/p/suzuki-burgman-200-coe-31-jul-2031-non-renewable-1455378441/ ,3,Available,Suzuki,Burgman 200 ABS,200,2B,9000,58000,31/7/2021,31/7/2031,1863,5.10,1789,4.90,2/2/2027,NA,"Geylang, Dakota, Paya Lebar Central, Eunos, Ubi, Aljunied, Kaki Bukit",NA,#VALUE!,Installments,1,NA,NA,2,NA,4,4,2,"Dealer listing. COE 31 Jul 2031; road tax 2 Feb 2027; mileage 58,xxx km. Rear rack and large under-seat storage stated. Hire-purchase and full-payment options available.",Mileage stated only approximately,SUZUKI|BURGMAN200ABS|2B|CC0-200|COE2-5|AGE3-6|M40-80K|COND3
https://www.carousell.sg/p/suzuki-burgman-200cc-abs-coe-may-2029-1458645645/,3,Available,Suzuki,Burgman 200 ABS,200,2B,6700,54400,1/5/2019,1/5/2029,2685,7.35,968,2.65,NA,NA,"Punggol, Sengkang, Hougang, Kovan, Serangoon, Lorong Ah Soo",NA,#VALUE!,Not Specified,NA,NA,NA,NA,NA,NA,NA,3,"Seller states registration May 2019, mileage 54,400 km and COE May 2029. Exact registration and COE days were not provided.",Exact registration/COE day not provided,SUZUKI|BURGMAN200ABS|2B|CC0-200|COE2-5|AGE6-10|M40-80K|COND-NA
https://www.carousell.sg/p/suzuki-gsxr150-oct-2033-1451755542/,7,Available,Suzuki,GSX-R150,147,2B,13300,38392,1/10/2023,1/10/2033,1071,2.93,2582,7.07,NA,1,"Hillview, Bukit Panjang, Bukit Batok, Choa Chu Kang",NA,#VALUE!,Installments,NA,NA,NA,NA,NA,NA,NA,3,"Dealer listing states COE Oct 2033, one owner and low mileage, but no numeric mileage or exact COE date. Financing available.",Numeric mileage not provided,SUZUKI|GSX-R150|2B|CC0-200|COE5-8|AGE0-3|M20-40K|COND-NA
https://www.carousell.sg/p/class-2b-suzuki-vanvan-200-rv200-1451641138/,7,Available,Suzuki,Van Van 125,199,2B,3000,50000,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"Woodlands, Admiralty",NA,#VALUE!,Not Specified,NA,NA,NA,NA,NA,NA,NA,3,"Seller states 50,000 km and that the COE can be renewed for 10 years. Current exact COE expiry not stated.",Current COE expiry date not provided,#VALUE!
https://www.carousell.sg/p/rare-suzuki-burgman-200-for-sale-1457627806/,5,Sold,Suzuki,Burgman 200 ABS,200,2B,4800,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,#VALUE!,Not Specified,NA,NA,NA,NA,NA,NA,NA,2,Seller states COE until end-Aug 2030 and describes the bike as an economical 200cc Burgman. Mileage and exact COE date are not stated.,Mileage not provided; exact COE day not provided,#VALUE!
https://www.carousell.sg/p/suzuki-burgman-200-white-dec-2030-1406351927/,7,Available,Suzuki,Burgman 200 ABS,200,2B,8100,82000,1/12/2015,31/12/2030,3932,10.77,1577,4.32,NA,NA,"Bedok, Upper East Coast, Bayshore, Tanah Merah, Upper Changi",NA,#VALUE!,Not Specified,4,NA,NA,NA,NA,NA,NA,4,"Seller states registration Dec 2015, COE end-Dec 2030 and mileage 82,000 km. New pulley components stated; belt and oil changed every 8,000 km; engine described as well maintained.",Exact registration/COE day not provided,SUZUKI|BURGMAN200ABS|2B|CC0-200|COE2-5|AGE10-15|M80-120K|COND4
https://www.carousell.sg/p/suzuki-burgman-anh200-scooter-1457450585/,7,Available,Suzuki,Burgman 200 ABS,200,2B,6000,NA,1/4/2020,1/4/2030,2349,6.43,1303,3.57,NA,NA,"Jurong East, Jurong West, Boon Lay",NA,#VALUE!,Not Specified,NA,NA,NA,NA,NA,NA,NA,2,Seller states COE ending Apr 2030 and that a top box is included. Mileage and exact COE date are not provided.,Mileage not provided; exact COE day not provided,SUZUKI|BURGMAN200ABS|2B|CC0-200|COE2-5|AGE6-10|M-NA|COND-NA
https://www.carousell.sg/p/suzuki-burgman-1361212486/,7,Available,Suzuki,Burgman 200 ABS,200,2B,2500,122000,1/12/2016,1/12/2026,3566,9.76,86,0.24,NA,NA,NA,3700,32.43%,Not Specified,NA,NA,NA,NA,NA,NA,NA,3,"Seller states mileage 122,xxx km and COE until Dec 2026, renewable. Listing price was reduced from S$3,700 to S$2,500.",High mileage; less than 1 year COE stated; exact COE day not provided,SUZUKI|BURGMAN200ABS|2B|CC0-200|COE0-2|AGE6-10|M120K+|COND-NA
https://www.carousell.sg/p/suzuki-gsxr150-1344431794/,7,Available,Suzuki,GSX-R150,147,2B,11500,NA,NA,1/6/2029,#VALUE!,#VALUE!,999,2.74,NA,1,"Hillview, Bukit Panjang, Bukit Batok, Choa Chu Kang",NA,#VALUE!,Installments,NA,NA,Significant,NA,NA,NA,NA,4,"First-owner, fully paid GSX-R150. Seller states COE Jun 2029. Aftermarket Brembo master pump, brake hoses, rear shock, camera, windshield and footrest; loan available.",Numeric mileage not provided; exact COE day not provided,#VALUE!
https://www.carousell.sg/p/2023-suzuki-gsx-r150-abs-coe-2033-sporty-blue-fuel-efficient-easy-loan-1451584398/,7,Available,Suzuki,GSX-R150,147,2B,13288,1042,23/10/2023,23/10/2033,1049,2.87,2604,7.13,NA,NA,"Hillview, Bukit Panjang, Bukit Batok, Choa Chu Kang",NA,#VALUE!,Installments,NA,NA,NA,NA,NA,NA,NA,4,"Dealer listing: registration 23 Oct 2023 and COE expiry 22 Oct 2033. Financing, warranty and trade-in offered. Numeric mileage not stated.",Numeric mileage not provided,SUZUKI|GSX-R150|2B|CC0-200|COE5-8|AGE0-3|M0-20K|COND-NA
https://www.carousell.sg/p/suzuki-burgman-400-1394703248/,7,Available,Suzuki,Burgman 400,399,2A,9500,NA,1/9/2021,1/9/2031,1831,5.01,1821,4.99,NA,NA,"Jurong East, Jurong West, Boon Lay",NA,#VALUE!,Not Specified,5,NA,Significant,5,NA,NA,NA,4,"Seller states about five years of non-renewable COE remain. New front/rear tyres, starter motor, engine gasket and CVT stated; TPMS and CarPlay GPS fitted.",Mileage not provided; exact COE expiry not provided,SUZUKI|BURGMAN400|2A|CC201-400|COE2-5|AGE3-6|M-NA|COND5
https://www.carousell.sg/p/suzuki-burgman-400-1439008114/,3,Available,Suzuki,Burgman 400,399,2A,5000,82000,NA,1/7/2028,#VALUE!,#VALUE!,664,1.82,NA,NA,NA,NA,#VALUE!,Not Specified,4,NA,NA,NA,NA,NA,NA,3,"Seller states COE Jul 2028, mileage 82,xxx km and that major servicing was recently completed. Bike described as in good condition.",Exact COE day not provided,#VALUE!
